Country Name,Country Code,Maternal Mortality Rate,Urban Population %,GDP Per Capita
Aruba,ABW,,43.11,
Afghanistan,AFG,396,24.8,569.5779229167
Angola,AGO,477,63.45,3683.5526074127
Albania,ALB,29,57.43,3952.83078116586
Andorra,AND,,88.35,36038.2676044596
Arab World,ARB,156,57.9,6413.3771611793
United Arab Emirates,ARE,6,85.67,39122.0497054272
Argentina,ARG,52,91.5,13698.2934384857
Armenia,ARM,25,63.09,3617.93574555176
American Samoa,ASM,,87.24,11865.9632317194
Antigua and Barbuda,ATG,,25,13659.1479142644
Australia,AUS,6,85.7,56561.4123818054
Austria,AUT,4,57.72,44206.7842820834
Azerbaijan,AZE,25,54.71,5500.31038244408
Burundi,BDI,712,12.08,300.676556925263
Belgium,BEL,7,97.88,40361.1541907535
Benin,BEN,405,45.7,783.963077800944
Burkina Faso,BFA,371,27.53,575.314454176312
Bangladesh,BGD,176,34.31,1210.15876939761
Bulgaria,BGR,11,73.99,6993.47554370696
Bahrain,BHR,15,89,22688.8782442968
Bahamas,BHS,80,82.75,30483.8201004038
Bosnia and Herzegovina,BIH,11,47.17,4584.24254781755
Belarus,BLR,4,77.18,5949.10630699748
Belize,BLZ,28,45.41,4950.25606198927
Bermuda,BMU,,100,
Bolivia,BOL,206,68.39,3077.02619917158
Brazil,BRA,44,85.77,8750.22299607324
Barbados,BRB,27,31.25,16129.0492827663
Brunei Darussalam,BRN,23,76.66,30967.890506377
Bhutan,BTN,148,38.68,2615.31022007844
Botswana,BWA,129,67.16,6527.50816086673
Central African Republic,CAF,882,40.28,348.381427149795
Canada,CAN,7,81.26,43525.3701865304
Central Europe and the Baltics,CEB,11,62.14,12456.4265235151
Switzerland,CHE,5,73.72,82016.0213129432
Channel Islands,CHI,,30.96,
Chile,CHL,22,87.36,13736.6356879313
China,CHN,27,55.5,8069.21302389511
Cote d'Ivoire,CIV,645,49.44,1434.32661467505
Cameroon,CMR,596,54.58,1353.92448961447
Congo Dem. Rep.,COD,693,42.74,497.629755726028
Congo Rep.,COG,442,65.54,1712.12114632566
Colombia,COL,64,79.76,6044.52555566556
Comoros,COM,335,28.47,727.646386827046
